"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2007;27;1458331144;1383444871;18197408;2991998;NA;NA;8900;"AGU - Advocacia Geral da União"
2007;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2007;421;6717882091;4094502490;622126494;73405408;8413;9737;11551;"Ministério da Agricultura, Pecuária e Abastecimento"
2007;422;5447498470;3362895825;1049285619;436393454;3320;934;6959;"Ministério da Ciência e Tecnologia"
2007;423;1077744578;497484984;271167573;27379005;292;255;2976;"Ministério da Cultura"
2007;424;41709137150;37765050922;3058961723;1397155304;9356;17538;27518;"Ministério da Defesa"
2007;425;15122807004;12762516856;269470831;47893351;58123;45773;NA;"Ministério da Economia"
2007;426;29474812754;24625885394;2920772513;640838680;111309;57864;180895;"Ministério da Educação"
2007;429;7661012349;6308292340;1276281273;442030236;15921;12387;27915;"Ministério da Justiça"
2007;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2007;431;1,93e+18;1,92e+18;131250000;12685811;797;616;39771;"Ministério da Previdência Social"
2007;432;52992319275;43839983401;4714740331;208289099;44533;62504;106259;"Ministério da Saúde"
2007;433;19940124131;7907340329;10997456045;601178073;1644;1804;418;"Ministério das Cidades"
2007;434;4900245467;1149094411;175565323;9775204;297;310;2048;"Ministério das Comunicações"
2007;435;1966881218;1620953822;27159236;21832925;2479;965;3335;"Ministério das Relações Exteriores"
2007;436;5488880956;799620574;49986107;15323853;1733;1065;2645;"Ministério de Minas e Energia"
2007;437;4122113346;2943106587;768333722;246413018;154;153;6576;"Ministério do Desenvolvimento Agrário"
2007;438;24864390988;24503304223;233460159;83403362;434;205;594;"Ministério do Desenvolvimento Social e Combate à Fome"
2007;439;1403307533;1050886968;218757102;168281761;NA;NA;2677;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2007;440;1576050262;754739742;707895494;173017277;125;118;233;"Ministério do Esporte"
2007;442;2799755678;1370670707;93423114;15986107;4501;4038;8559;"Ministério do Meio Ambiente"
2007;444;4682381607;3009740350;55300662;7503950;2999;2012;16453;"Ministério do Planejamento, Orçamento e Gestão"
2007;445;36323164763;29695101004;50985893;29814737;4671;2435;7270;"Ministério do Trabalho e Emprego"
2007;446;2102299225;600547529;1548598000;219698579;1853;1081;366;"Ministério do Turismo"
2007;523;3124034400;1870432636;563753539;111269694;13207;4997;5697;"Presidência da República"
2007;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2007;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2007;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2007;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2007;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2007;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2007;658;5393837;5276375;103737;75068;NA;NA;NA;"Vice-Presidência da República"
2007;700;14368792580;6333000189;10878169185;3372103129;3393;3203;NA;"Ministério da Infra-Estrutura"
2007;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2007;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2007;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2008;27;1959309763;1828037271;77662580;2158961;NA;NA;8977;"AGU - Advocacia Geral da União"
2008;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2008;421;7496345576;4469247432;853835132;93863354;8785;9567;11588;"Ministério da Agricultura, Pecuária e Abastecimento"
2008;422;6407399232;4025762578;1175965749;449316535;3244;902;6806;"Ministério da Ciência e Tecnologia"
2008;423;1334519461;631120034;263106067;23449591;299;243;2946;"Ministério da Cultura"
2008;424;48044147513;40713280631;4114580754;2001958505;9260;16991;27246;"Ministério da Defesa"
2008;425;16883547780;13972215388;173801885;22638898;58777;45868;NA;"Ministério da Economia"
2008;426;34820102236;28984386427;3748817754;739783613;118517;56950;188440;"Ministério da Educação"
2008;429;9227604310;7309392076;1682559484;553693213;16759;11839;28168;"Ministério da Justiça"
