nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério de Minas e Energia;Ministério de Minas e Energia;436;1;2012
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2012
Ministério do Esporte;Ministério do Esporte;440;1;2012
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2012
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2012
Ministério dos Transportes;Ministério dos Transportes;447;1;2012
Secretaria de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2012
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2012
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2012
Agência Brasileira de Inteligência (ABIN) do Gabinete de Segurança Institucional da Presidência da República;ABIN - Agência Brasileira de Inteligência;8;1;2013
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2013
Controladoria-Geral da União;Controladoria Geral da União;176;1;2013
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2013
Ministério da Cultura;Ministério da Cultura;423;1;2013
Ministério da Defesa;Ministério da Defesa;424;1;2013
Ministério da Educação;Ministério da Educação;426;1;2013
Ministério da Fazenda;Ministério da Fazenda;427;1;2013
Ministério da Fazenda;Ministério da Fazenda;427;1;2013
Ministério da Integração Nacional;Ministério da Integração Nacional;428;1;2013
Ministério da Justiça;Ministério da Justiça;429;1;2013
Ministério da Pesca e Aquicultura;Ministério da Pesca e Aquicultura;430;1;2013
