id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
2009436;436;2009;Ministério de Minas e Energia;1;1;1;7327283033;1109764189;68885134;20661140;2154;1263;3257
2010436;436;2010;Ministério de Minas e Energia;1;1;1;7377248706;1150165321;113840076;18160784;2391;1312;3353
2011436;436;2011;Ministério de Minas e Energia;0;0;1;8162054183;1316554641;184523061;15345408;2536;1728;3596
2012436;436;2012;Ministério de Minas e Energia;7;1;1;8205096332;1354471932;168652198;25378631;2449;1858;3385
2013436;436;2013;Ministério de Minas e Energia;1;1;1;11078925356;1533538318;214968724;33988706;2548;1830;3418
2014436;436;2014;Ministério de Minas e Energia;0;0;1;5010696034;1617630990;148296897;17412151;2575;1795;4202
2015436;436;2015;Ministério de Minas e Energia;0;0;1;4532093237;2387437599;141187688;15330485;2565;1786;4196
2016436;436;2016;Ministério de Minas e Energia;0;0;1;8321866339;5426842788;100611047;33209922;2496;1747;4101
2017436;436;2017;Ministério de Minas e Energia;0;0;1;4001715662;2705513818;69935550;6887364;2489;1690;NA
2018436;436;2018;Ministério de Minas e Energia;0;0;1;15461092392;7517143198;101741924;18571172;2418;1641;NA
2019436;436;2019;Ministério de Minas e Energia;3;1;1;43623193759;38232590440;179358994;34086238;2425;1525;NA
1997445;445;1997;Ministério do Trabalho e Emprego;0;0;1;NA;NA;NA;NA;NA;NA;8126
1998445;445;1998;Ministério do Trabalho e Emprego;0;0;1;NA;NA;NA;NA;NA;NA;7810
1999445;445;1999;Ministério do Trabalho e Emprego;0;0;1;NA;NA;NA;NA;4452;3242;7863
2000445;445;2000;Ministério do Trabalho e Emprego;0;0;1;10425294687;9677040852;63600505;27296973;4378;3260;7787
2001445;445;2001;Ministério do Trabalho e Emprego;0;0;1;11817490854;11410656277;109026126;47402816;4548;3002;7699
2002445;445;2002;Ministério do Trabalho e Emprego;0;0;1;15410471635;14713713280;88380760;42492386;4670;2837;7671
2003445;445;2003;Ministério do Trabalho e Emprego;0;0;1;21698290775;17076014075;31271876;13927036;4317;2753;7221
2004445;445;2004;Ministério do Trabalho e Emprego;0;0;1;28464803113;19118394606;45209426;18265430;4435;2671;7268
2005445;445;2005;Ministério do Trabalho e Emprego;1;1;1;31530616493;22890632655;34799277;18748088;4442;2596;7195
2006445;445;2006;Ministério do Trabalho e Emprego;0;0;1;35028110031;27145549138;29947846;18991330;4373;2517;7044
